Game,Improvement (%)
team_prison_oos,-0.7246376811594203
team_delight_oos,11.940298507462686
team_staghunt_oos,-17.857142857142858
team_snowdrift_oos,6.756756756756757
IR_prison_oos,10.95890410958904
IR_delight_oos,34.12698412698413
IR_staghunt_oos,26.865671641791046
IR_snowdrift_oos,23.214285714285715
friendsharing_prison_oos,-0.8695652173913043
friendsharing_delight_oos,-500.0
friendsharing_staghunt_oos,140.0
friendsharing_snowdrift_oos,6.976744186046512
biz_prison_oos,12.992125984251967
biz_delight_oos,20.903954802259886
biz_staghunt_oos,9.803921568627452
biz_snowdrift_oos,19.318181818181817
environment_prison_oos,43.75
environment_delight_oos,305.2631578947369
environment_staghunt_oos,1533.3333333333335
environment_snowdrift_oos,53.76344086021505
