Game,Improvement (%)
team_prison_d,-7.352941176470589
team_delight_d,10.9375
team_staghunt_d,15.0
team_snowdrift_d,7.2992700729927
IR_prison_d,17.760617760617762
IR_delight_d,35.294117647058826
IR_staghunt_d,32.87671232876712
IR_snowdrift_d,14.903846153846153
friendsharing_prison_d,3.8834951456310676
friendsharing_delight_d,91.66666666666666
friendsharing_staghunt_d,27.27272727272727
friendsharing_snowdrift_d,4.464285714285714
biz_prison_d,16.666666666666664
biz_delight_d,17.02127659574468
biz_staghunt_d,33.65384615384615
biz_snowdrift_d,10.62992125984252
environment_prison_d,28.57142857142857
environment_delight_d,241.17647058823528
environment_staghunt_d,160.8695652173913
environment_snowdrift_d,36.496350364963504
